"","country","totalCases","totalNewCases","estimate","lower","upper","population","propCurrentlyInfMid","propCurrentlyInfLow","propCurrentlyInfHigh"
"1","Afghanistan",22890,9231,0.433174217636589,0.298903285498313,0.620731251102059,38928341,0.0011,0.0005,0.0026
"2","Albania",1385,286,0.87243215203803,0.441249306053929,0.999999997651718,2877800,0.00023,0.00013,0.00075
"3","Algeria",10589,1455,0.242105487822418,0.168377125056987,0.337610521339801,43851043,0.00027,0.00013,0.00066
"4","Andorra",852,88,0.332314056719004,0.164712512197365,0.718770278627128,77265,0.0069,0.0021,0.023
"5","Argentina",27360,11954,0.45846541014311,0.341999859755642,0.585450191980588,45195777,0.0012,0.00059,0.0026
"6","Armenia",14669,5993,0.522951495994879,0.388786332053124,0.667616051707186,2963234,0.0077,0.0039,0.017
"7","Australia",7285,112,0.902667104701619,0.659787279162486,0.999986688662822,25499881,0.0000097,0.0000057,0.000022
"8","Austria",16964,370,0.528354856486433,0.300830742182064,0.919020916091591,9006400,0.00016,0.000058,0.00046
"9","Azerbaijan",8882,3893,0.772549937493267,0.54751490293046,0.986328872732515,10139175,0.00099,0.00051,0.0023
"10","Bahamas",103,1,0.595676203967449,0.172769848377619,0.99745160977955,393248,0.0000085,0.0000033,0.000049
"11","Bahrain",17269,6820,0.976538471195779,0.88255041647475,0.999999999984113,1701583,0.0082,0.0052,0.015
"12","Bangladesh",78052,35208,0.777439824852228,0.588734998597138,0.999999767332139,164689383,0.00055,0.00028,0.0012
"13","Belarus",51816,11052,0.984435116741443,0.859452684495847,1,9449321,0.0024,0.0015,0.0045
"14","Belgium",59711,1650,0.329246549097357,0.241222264874469,0.422656775778623,11589616,0.00086,0.00044,0.002
"15","Bolivia",16165,7434,0.355053117404903,0.276320099405043,0.442402284992702,11673029,0.0036,0.0019,0.0077
"16","Bosnia and Herzegovina",2831,346,0.521483172141364,0.21756501667134,0.910012466705643,3280815,0.0004,0.00015,0.0016
"17","Brazil",802828,337662,0.286959665077522,0.234989117384725,0.339375660529204,212559409,0.011,0.0061,0.023
"18","Bulgaria",3086,587,0.199762883733849,0.129480655954561,0.275897218196046,6948445,0.00085,0.0004,0.0022
"19","Burkina Faso",892,45,0.560667786402176,0.246916270344443,0.953255008005462,20903278,0.0000077,0.0000029,0.000029
"20","Cameroon",8681,3245,0.925440954049212,0.774672193933935,0.999919681172929,26545864,0.00026,0.00016,0.00053
"21","Canada",97519,8112,0.214311491872841,0.171059551444434,0.259693343849257,37742157,0.002,0.0011,0.0042
"22","Chad",848,89,0.574309243809491,0.21797338127184,0.935771759445406,16425859,0.000019,0.0000075,0.000083
"23","Chile",154092,63454,0.930801953490299,0.292479740794087,1,19116209,0.0071,0.0043,0.038
"24","China",84216,93,0.442985314907459,0.13905224999002,0.801101283420319,1439323774,0.00000029,0.0000001,0.0000015
"25","Colombia",43682,16994,0.343161462417962,0.272625918067074,0.419210689338916,50882884,0.0019,0.001,0.0041
"26","Congo",745,158,0.443581717820274,0.231374508415812,0.779468728501212,5518092,0.00013,0.000048,0.00041
"27","Costa Rica",1538,516,0.845406698842765,0.524548744906316,0.999944515460471,5094114,0.00024,0.00013,0.00064
"28","Côte d'Ivoire",4404,1654,0.919489835697752,0.718899116757474,0.999996899036714,26378275,0.00014,0.000081,0.00029
"29","Croatia",2249,4,0.219183068192442,0.0929617943015957,0.423948348732769,4105268,0.0000089,0.000003,0.000035
"30","Cuba",2219,214,0.78310218263724,0.449176088323274,0.998235880818104,11326616,0.000048,0.000025,0.00014
"31","Cyprus",975,34,0.831198498020969,0.448473566913602,0.999832565671239,1207361,0.000068,0.000037,0.00021
"32","Czechia",9886,690,0.623775229892185,0.38948312007539,0.947064395390134,10708982,0.00021,0.000088,0.00055
"33","Democratic Republic of the Congo",4514,1681,0.744900633451163,0.427073399184158,0.999950778994868,89561404,0.00005,0.000024,0.00015
"34","Denmark",12035,442,0.585907655189237,0.368027010665027,0.816772414634798,5792203,0.00026,0.00012,0.00069
"35","Djibouti",4398,1484,0.905092035353464,0.689486841543794,0.999991523912626,988002,0.0033,0.002,0.0073
"36","Dominican Republic",21437,4906,0.869270140207192,0.672716103462777,0.992229791074743,10847904,0.001,0.00059,0.0022
"37","Ecuador",44440,5869,0.261117504645992,0.203939483105513,0.32569581508692,17643060,0.0025,0.0013,0.0054
"38","Egypt",39726,17644,0.378475736790506,0.300764363940227,0.464553896607364,102334403,0.00091,0.00048,0.0019
"39","El Salvador",3481,1203,0.556354084644919,0.37529108957629,0.780373448089541,6486201,0.00067,0.00031,0.0016
