"","country","iso_code","total_cases","total_new_cases","new_cases_per_hundred_thousand_pop","median","lower_95_CrI","upper_95_CrI","population","prevalence_mid","prevalence_low","prevalence_high"
"1","Afghanistan","AFG",37012,344,0.88367495547781,0.314751112722567,0.208744283406029,0.448090478971189,38928341,0.000056,0.000025,0.00014
"2","Albania","ALB",6498,1140,39.613593717423,0.48709450089611,0.345106760290598,0.672900199643738,2877800,0.0016,0.00074,0.0038
"3","Algeria","DZA",35695,4762,10.8594908449498,0.784349995390344,0.606151968125292,0.956784951560824,43851043,0.00028,0.00014,0.0006
"4","Angola","AGO",1576,558,1.69778935655244,0.292004517738074,0.206176450145098,0.430872737162452,32866268,0.00012,0.000049,0.00027
"5","Argentina","ARG",246455,55197,122.128667021257,0.50928720622654,0.448254650006304,0.574199647854013,45195777,0.0048,0.0027,0.0091
"6","Armenia","ARM",40143,1383,46.6719806805672,0.735836592668879,0.583054244095224,0.899036673633075,2963234,0.0013,0.00065,0.0027
"7","Australia","AUS",21271,4115,16.1373302095018,0.315138610000267,0.241867497901706,0.405711394333454,25499881,0.001,0.0005,0.0022
"8","Austria","AUT",22020,898,9.97068751110322,0.970989359050946,0.837198645230446,0.999999997532427,9006400,0.00021,0.00012,0.0004
"9","Azerbaijan","AZE",33482,1490,14.6954757167127,0.927552412246528,0.807778654358013,0.99952754459141,10139175,0.00032,0.00018,0.00061
"10","Bahamas","BHS",897,346,87.9851900073236,0.759379653091629,0.434039450953564,0.998094192134794,393248,0.0023,0.0011,0.0068
"11","Bahrain","BHR",41476,3207,188.471558542839,0.987145753767849,0.923704484127243,0.999999999999993,1701583,0.0038,0.0024,0.0068
"12","Bangladesh","BGD",260474,20647,12.5369344543601,0.887198998916182,0.728450024046261,0.999999998358094,164689383,0.00028,0.00016,0.00057
"13","Belarus","BLR",68866,1001,10.5933537446765,0.221715119878833,0.133444751861152,0.347334618917115,9449321,0.00096,0.00038,0.0026
"14","Belgium","BEL",75941,5355,46.2051546832958,0.974123125414298,0.849147253706216,0.999999994614814,11589616,0.00095,0.00058,0.0018
"15","Benin","BEN",1675,131,1.08057296432839,0.816307934041905,0.556891317319965,0.998806265091954,12123198,0.000026,0.000014,0.000065
"16","Bolivia","BOL",91616,12842,110.014290206938,0.335485966153379,0.288855838619022,0.387570799543097,11673029,0.0066,0.0035,0.013
"17","Bosnia & Herzegovina","BIH",14468,2623,79.9496466579188,0.483259883086581,0.358967992702027,0.628165521994952,3280815,0.0033,0.0016,0.0074
"18","Brazil","BRA",3057457,349593,164.468372228114,0.648240838542802,0.577760389344429,0.720824805038324,212559409,0.0051,0.0029,0.0095
