"","country","totalCases","totalNewCases","new_cases_per_hundred_thousand_pop","estimate","lower","upper","population","propCurrentlyInfMid","propCurrentlyInfLow","propCurrentlyInfHigh"
"1","Afghanistan",34451,2429,6.23966996178954,0.22118312214484,0.174503631322482,0.278566077054268,38928341,0.00056,0.00028,0.0012
"2","Albania",3371,709,24.6368753909236,0.313762510409631,0.184597957455155,0.500698111457176,2877800,0.0016,0.00062,0.0044
"3","Algeria",18712,4055,9.24721448472731,0.470089912144377,0.346221766578563,0.618726356399936,43851043,0.00039,0.00019,0.00089
"4","Angola",483,168,0.511162386919014,0.18097247495611,0.0936996449769816,0.338651430517725,32866268,0.000056,0.000019,0.00018
"5","Argentina",97509,27581,61.0256130788503,0.670331137563172,0.570127337255342,0.773087770116335,45195777,0.0018,0.00099,0.0036
"6","Armenia",31392,4734,159.757886147365,0.762555772855507,0.600549864299157,0.936193556399961,2963234,0.0042,0.0021,0.0089
"7","Australia",9553,1552,6.08630291255085,0.943924355985725,0.790043936583797,0.999998795987455,25499881,0.00013,0.000076,0.00026
"8","Austria",18795,843,9.36001065908687,0.845078541832966,0.563019969863264,0.996550700389407,9006400,0.00022,0.00012,0.00055
"9","Azerbaijan",23521,4837,47.7060510347242,0.840261056975745,0.699786409274808,0.982448619537854,10139175,0.0011,0.00061,0.0023
"10","Bahamas",111,7,1.78004719667996,0.593227254739376,0.17612013894946,0.997091190209716,393248,0.00006,0.000022,0.00034
"11","Bahrain",32470,4633,272.275874876512,0.991233090522121,0.951915879332259,0.999999999999998,1701583,0.0055,0.0034,0.0095
"12","Bangladesh",181129,27852,16.9118369943738,0.977026992174921,0.868336118451233,0.999999228484139,164689383,0.00035,0.00021,0.00065
"13","Belarus",64767,2069,21.895753144591,0.599343992069441,0.339559823061727,0.999999979806741,9449321,0.00073,0.00027,0.0021
"14","Belgium",62606,879,7.58437553064743,0.514338287775836,0.352813610531657,0.69487267771224,11589616,0.00029,0.00014,0.00072
"15","Benin",1378,179,1.47650809629604,0.730643283854961,0.434719395375881,0.994461663627634,12123198,0.00004,0.000019,0.00011
"16","Bolivia",47200,11672,99.9911848073024,0.235489959364224,0.198324480074326,0.28303478201727,11673029,0.0085,0.0044,0.017
"17","Bosnia and Herzegovina",6402,1796,54.742495386055,0.42155808083458,0.253590535005355,0.65365092456082,3280815,0.0026,0.001,0.0072
"18","Brazil",1839850,342992,161.362887492786,0.460828732332778,0.408674489909069,0.511608034137596,212559409,0.007,0.0039,0.013
"19","Bulgaria",6672,1357,19.5295494171718,0.373632438708785,0.266792742072992,0.53739091540992,6948445,0.001,0.00045,0.0024
"20","Burkina Faso",1033,53,0.253548749626733,0.749975308870569,0.341243031716215,0.999198357623447,20903278,0.0000068,0.0000032,0.000025
"21","Cameroon",14916,2324,8.75465948292359,0.333246770744997,0.165532255681709,0.604821157937851,26545864,0.00053,0.00018,0.0018
"22","Canada",107335,2575,6.8226095291798,0.312071666679346,0.244381318618649,0.392000309619972,37742157,0.00044,0.00022,0.00093
"23","Cape Verde",1591,290,52.1593991237221,0.639775345613187,0.341591531481055,0.986331361637486,555988,0.0016,0.00066,0.0051
"24","Central African Republic",4288,465,9.62779961919464,0.749139049025219,0.497190908369869,0.989469431551625,4829764,0.00026,0.00012,0.00065
"25","Chad",874,6,0.0365277700240821,0.757484658629018,0.220459423479938,0.999970710017857,16425859,0.00000096,0.00000046,0.0000055
"26","Chile",312029,27488,143.794201036408,0.707724877002798,0.582320643069591,0.959051295672343,19116209,0.0041,0.0019,0.0082
"27","China",85071,241,0.0167439741046062,0.91601746605348,0.157284453334161,1,1439323774,0.00000037,0.00000021,0.0000035
"28","Colombia",145362,39252,77.141853830455,0.289755873129101,0.253326025500604,0.327958869516203,50882884,0.0053,0.0029,0.01
"29","Congo",2028,646,11.706945081742,0.440578559634131,0.291171164055219,0.653528598564703,5518092,0.00053,0.00022,0.0013
"30","Costa Rica",7231,3208,62.9746409287268,0.968751434855994,0.861245316379308,0.999999999670791,5094114,0.0013,0.00079,0.0024
"31","Côte d'Ivoire",12443,2451,9.29173723452348,0.981621621254971,0.91299661721193,0.99999999996633,26378275,0.00019,0.00012,0.00034
"32","Croatia",3672,760,18.5127986772118,0.681577748642881,0.394541662328662,0.974340409925637,4105268,0.00054,0.00024,0.0016
"33","Cuba",2420,67,0.591527072163478,0.866446149231289,0.474194414959494,0.999997654685238,11326616,0.000014,0.0000074,0.000042
"34","Cyprus",1014,15,1.24237903990604,0.82134371180377,0.394353621805088,0.999726919402017,1207361,0.00003,0.000016,0.00011
"35","Czechia",13115,937,8.74966453393983,0.920483075331795,0.733503581692056,0.999993794571047,10708982,0.00019,0.00011,0.0004
"36","Democratic Republic of the Congo",7970,782,0.873143971704597,0.67496822619356,0.431832889906669,0.948036164459366,89561404,0.000026,0.000012,0.000067
"37","Denmark",12946,131,2.26166106402003,0.782540556301503,0.523358507398946,0.97576071492204,5792203,0.000058,0.000029,0.00014
"38","Djibouti",4955,240,24.2914488027352,0.911335928508068,0.689617431068466,0.99999305777338,988002,0.00053,0.0003,0.0012
"39","Dominican Republic",48114,13917,128.292064531545,0.807710160850856,0.650486207471933,0.967315214098309,10847904,0.0032,0.0017,0.0066
"40","Ecuador",67209,7741,43.8756088796388,0.252486839371614,0.210085349623909,0.300532129286013,17643060,0.0035,0.0018,0.007
"41","Egypt",81158,9859,9.6341012513651,0.270618218604584,0.228603324882016,0.317929040274188,102334403,0.00071,0.00038,0.0014
"42","El Salvador",9391,2391,36.8628724271727,0.403526723252732,0.274533680416248,0.565518911113696,6486201,0.0018,0.00081,0.0045
"43","Equatorial Guinea",3071,0,0,0.924242783354605,0.47583188842394,1,1402985,0,0,0
"44","Estonia",2014,24,1.80921932939778,0.554393629141558,0.286991639099058,0.952669244726473,1326539,0.000065,0.000024,0.00021
"45","Eswatini",1311,438,37.7532831565193,0.636400011870472,0.300131779689443,0.990943084824242,1160164,0.0012,0.00048,0.0042
"46","Ethiopia",7402,1556,1.35347208167651,0.688869934985499,0.490301876581847,0.942095228302847,114963583,0.000039,0.000018,0.000092
"47","Finland",7279,38,0.685831691849324,0.849358625416811,0.436003416794573,0.999998880715359,5540718,0.000016,0.0000086,0.000052
"48","France",170752,4374,6.70103364439775,0.475452523205352,0.371650856110864,0.595500817069723,65273512,0.00028,0.00014,0.0006
"49","Gabon",5942,429,19.274592403025,0.970566821334323,0.862914609603046,0.999999999789105,2225728,0.0004,0.00024,0.00074
"50","Georgia",986,47,1.17818847255385,0.817104629977045,0.461373979881278,0.99972081908711,3989175,0.000029,0.000015,0.000085
"51","Germany",198804,3130,3.73579926321206,0.823915254480625,0.678915287694433,0.956762777715856,83783945,0.000091,0.000049,0.00018
"52","Ghana",24248,6114,19.6762810863277,0.986877408852374,0.931658816326134,0.999999999999954,31072945,0.0004,0.00025,0.0007
"53","Greece",3772,314,3.01255217279846,0.538537826280597,0.281117588542637,0.911289808045551,10423056,0.00011,0.000041,0.00036
"54","Guatemala",28598,8526,47.5898976571604,0.270631152032346,0.2161202701905,0.333337489535525,17915567,0.0035,0.0018,0.0073
"55","Guinea",6044,594,4.52302907104597,0.972075557160002,0.859528154029998,0.999999999825203,13132792,0.000093,0.000057,0.00018
"56","Guinea Bissau",1842,188,9.5528552366415,0.525981857189286,0.287781966522232,0.883028601433332,1967998,0.00036,0.00014,0.0011
"57","Guyana",291,41,5.21257782315122,0.415682588244081,0.149421919570719,0.894620189264308,786559,0.00025,0.000073,0.0012
"58","Haiti",6690,589,5.16551892461087,0.726467293483056,0.336843391079098,0.999967110739988,11402533,0.00014,0.000065,0.00051
"59","Honduras",27583,6463,65.2524562304737,0.447396516172918,0.368912958845479,0.535283694953906,9904608,0.0029,0.0015,0.0059
"60","Hungary",4229,63,0.652150284409985,0.145420103984361,0.0910851398186445,0.235793085407564,9660350,0.00009,0.000035,0.00024
"61","Iceland",1888,38,11.1355311355311,0.873368982867816,0.506709761734904,0.99997956044285,341250,0.00026,0.00014,0.00073
"62","India",849553,224009,16.2324846525759,0.545567429988954,0.487069253934423,0.607188429302034,1380004385,0.0006,0.00033,0.0011
"63","Indonesia",74018,14624,5.34652179089132,0.257636959795682,0.212631955855665,0.307487186640287,273523621,0.00042,0.00022,0.00084
"64","Iran",255117,22254,26.4950798908094,0.209768818862921,0.182545007152679,0.239299031986543,83992953,0.0025,0.0014,0.0048
"65","Iraq",75194,21486,53.4178591521269,0.267810625366307,0.22996433846409,0.30950227602317,40222503,0.004,0.0022,0.0077
"66","Ireland",25611,122,2.47073795677262,0.321673638053987,0.174227299003891,0.557188759217136,4937796,0.00015,0.000055,0.00047
"67","Israel",37463,9921,114.620218424244,0.979812421212036,0.914493856909884,0.999996589998229,8655541,0.0023,0.0014,0.0042
"68","Italy",242827,1866,3.08624476256325,0.208039273748798,0.156765847683111,0.269110428037656,60461828,0.0003,0.00014,0.00066
"69","Jamaica",758,43,1.45213313291645,0.800771391660778,0.413758847705354,0.999791092674686,2961161,0.000036,0.000018,0.00012
"70","Japan",21129,2061,1.62955227604492,0.91335826448475,0.676501677153828,0.999906913770656,126476458,0.000036,0.00002,0.00008
"71","Kazakhstan",58253,14178,75.50844778054,0.997428249943634,0.980087350759426,0.999999999998799,18776707,0.0015,0.00094,0.0026
"72","Kenya",9726,2785,5.17934288365727,0.799596994934267,0.615367588623975,0.962897409946885,53771300,0.00013,0.000067,0.00028
"73","Kuwait",54058,6199,145.156505125905,0.992905907341527,0.954406461456365,0.999999999624148,4270563,0.0029,0.0018,0.0051
"74","Kyrgyzstan",10629,3862,59.1950787461618,0.567259400084725,0.399794432109483,0.747208009932002,6524191,0.0021,0.00099,0.0049
"75","Latvia",1173,51,2.70384614161156,0.414573825675547,0.189802574756294,0.743532907730651,1886202,0.00013,0.000045,0.00047
"76","Lebanon",2168,372,5.45019648544373,0.859856161874382,0.533387513801034,0.999999959371445,6825442,0.00013,0.000068,0.00034
"77","Liberia",998,179,3.53917420982004,0.560490423755703,0.248431631834865,0.960061369255163,5057677,0.00013,0.000046,0.00047
"78","Libya",1389,498,7.24755056803769,0.283469068257064,0.175172839814485,0.435295553967633,6871287,0.00051,0.00021,0.0014
"79","Lithuania",1865,40,1.46935063150853,0.345258824743078,0.199171098456003,0.593790958907924,2722291,0.000085,0.000031,0.00025
"80","Luxembourg",4842,447,71.4084885043516,0.742250573089757,0.480780001581981,0.993379800028759,625976,0.0019,0.0009,0.005
"81","Madagascar",4578,2175,7.8545321860492,0.813341544654371,0.550806850573461,0.999040877840632,27691019,0.00019,0.000098,0.00048
